TZ identifier,DST?
Africa/Abidjan,Y
Africa/Accra,Y
Africa/Addis_Ababa,Y
Africa/Algiers,Y
Africa/Asmara,Y
Africa/Asmera,Y
Africa/Bamako,Y
Africa/Bangui,N
Africa/Banjul,N
Africa/Bissau,N
Africa/Blantyre,N
Africa/Brazzaville,N
Africa/Bujumbura,N
Africa/Cairo,Y
Africa/Casablanca,Y
Africa/Ceuta,Y
Africa/Conakry,N
Africa/Dakar,N
Africa/Dar_es_Salaam,N
Africa/Djibouti,N
Africa/Douala,N
Africa/El_Aaiun,Y
Africa/Freetown,N
Africa/Gaborone,N
Africa/Harare,N
Africa/Johannesburg,N
Africa/Juba,N
Africa/Kampala,N
Africa/Khartoum,N
Africa/Kigali,N
Africa/Kinshasa,N
Africa/Lagos,N
Africa/Libreville,N
Africa/Lome,N
Africa/Luanda,N
Africa/Lubumbashi,N
Africa/Lusaka,N
Africa/Malabo,N
Africa/Maputo,N
Africa/Maseru,N
Africa/Mbabane,N
Africa/Mogadishu,N
Africa/Monrovia,N
Africa/Nairobi,N
Africa/Ndjamena,N
Africa/Niamey,N
Africa/Nouakchott,N
Africa/Ouagadougou,N
Africa/Porto-Novo,N
Africa/Sao_Tome,N
Africa/Timbuktu,N
Africa/Tripoli,N
Africa/Tunis,N
Africa/Windhoek,N
America/Adak,Y
America/Anchorage,Y
America/Anguilla,N
America/Antigua,N
America/Araguaina,N
America/Argentina/Buenos_Aires,N
America/Argentina/Catamarca,N
America/Argentina/ComodRivadavia,N
America/Argentina/Cordoba,N
America/Argentina/Jujuy,N
America/Argentina/La_Rioja,N
America/Argentina/Mendoza,N
America/Argentina/Rio_Gallegos,N
America/Argentina/Salta,N
America/Argentina/San_Juan,N
America/Argentina/San_Luis,N
America/Argentina/Tucuman,N
America/Argentina/Ushuaia,N
America/Aruba,N
America/Asuncion,Y
America/Atikokan,N
America/Atka,Y
America/Bahia,N
America/Bahia_Banderas,N
America/Barbados,N
America/Belem,N
America/Belize,N
America/Blanc-Sablon,N
America/Boa_Vista,N
America/Bogota,N
America/Boise,Y
America/Buenos_Aires,N
America/Cambridge_Bay,Y
America/Campo_Grande,N
America/Cancun,N
America/Caracas,N
America/Catamarca,N
America/Cayenne,N
America/Cayman,N
America/Chicago,Y
America/Chihuahua,N
America/Ciudad_Juarez,Y
America/Coral_Harbour,N
America/Cordoba,N
America/Costa_Rica,N
America/Creston,N
America/Cuiaba,N
America/Curacao,N
America/Danmarkshavn,N
America/Dawson,N
America/Dawson_Creek,N
America/Denver,Y
America/Detroit,Y
America/Dominica,N
America/Edmonton,Y
America/Eirunepe,N
America/El_Salvador,N
America/Ensenada,Y
America/Fort_Nelson,N
America/Fort_Wayne,Y
America/Fortaleza,N
America/Glace_Bay,Y
America/Godthab,N
America/Goose_Bay,Y
America/Grand_Turk,Y
America/Grenada,N
America/Guadeloupe,N
America/Guatemala,N
America/Guayaquil,N
America/Guyana,N
America/Halifax,Y
America/Havana,Y
America/Hermosillo,N
America/Indiana/Indianapolis,Y
America/Indiana/Knox,Y
