Term	UnitsName	UnitsTypeCV	UnitsAbbreviation	UnitsLink	limnoflag	unitabbv
gray	Gray	Absorbed dose	Gy	http://qudt.org/vocab/unit#Gray; http://unitsofmeasure.org/ucum.html#para-30	NA	gy
rad	RAD	Absorbed dose	rad	http://qudt.org/vocab/unit#Rad; http://unitsofmeasure.org/ucum.html#para-33	NA	rad
grayPerSecond	Gray per Second	Absorbed dose rate	Gy/s	http://qudt.org/vocab/unit#GrayPerSecond	NA	gyps
ban	Ban	Amount of information	ban	http://qudt.org/vocab/unit#Ban	NA	ban
bit	Bit	Amount of information	bit	http://qudt.org/vocab/unit#Bit; http://unitsofmeasure.org/ucum.html#para-48	NA	bit
byte	Byte	Amount of information	By	http://qudt.org/vocab/unit#Byte; http://unitsofmeasure.org/ucum.html#para-48	NA	by
nat	Nat	Amount of information	nat	http://qudt.org/vocab/unit#Nat	NA	nat
octet	Octet	Amount of information	octet	http://www.unidata.ucar.edu/software/udunits/	NA	octet
arcMinute	Arc Minute	Angle	arcMin	http://qudt.org/vocab/unit#ArcMinute; http://qudt.org/vocab/unit#MinuteAngle; http://unitsofmeasure.org/ucum.html#para-31; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-accepted.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	arcmin
arcSecond	Arc Second	Angle	arcSec	http://qudt.org/vocab/unit#ArcSecond; http://qudt.org/vocab/unit#SecondAngle; http://unitsofmeasure.org/ucum.html#para-31; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-accepted.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	arcsec
circle	Circle	Angle	circ	http://unitsofmeasure.org/ucum.html#para-47; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	circ
cycle	Cycle	Angle	cycle	https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	cycle
degree	Degree	Angle	deg	http://qudt.org/vocab/unit#DegreeAngle; http://unitsofmeasure.org/ucum.html#para-31; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-accepted.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	1	deg
degreeEast	Degree East	Angle	degE	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	1	dege
degreeMinuteSecond	Degree Minute Second	Angle	dddmmss	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	dddmmss
